Message,Category,Priority
TULONG! Nasusunog na yung apartment namin sa Tumana may bata sa loob!,Fire,Critical
SUNOG SA CONCEPCION UNO MALAKI NA ANG APOY,Fire,Critical
saklolo na trap kami sa 2nd floor hindi kami makababa dahil sa usok,Fire,Critical
Sumabog yung gasul dahil sa lindol nasusunog na bahay namin,Fire,Critical
PLEASE HELP FIRE SA PROVIDENT VILLAGE MABILIS KUMALAT,Fire,Critical
may nasusunog na row ng bahay sa malanday need bumbero agad,Fire,Critical
TULOOONG HINDI KAMI MAKALABAS NG BAHAY MAY APOY SA PINTO,Fire,Critical
sunog sa palengke sa bayan may mga tao pa sa loob,Fire,Critical
nasusunog na yung clinic may mga pasyente pa pls rescue,Fire,Critical
FIRE EMERGENCY SA MARIKINA HEIGHTS MALAPIT SA SCHOOL,Fire,Critical
nasusnog na buong compound namin tulong parang awa nyo na,Fire,Critical
hlep my lola is inside the burning house,Fire,Critical
sumabog transformer sa tapat namin kalat na apoy sa bubong,Fire,Critical
tulong nasusunog na yung evacuation center!,Fire,Critical
GRABE YUNG APOY SA MAY RIVERBANKS MALL MAY NA TRAP,Fire,Critical
sunog sa barangka ibaba residential area dikit dikit bahay,Fire,Critical
tlong po nasusunog na kmi d2 sa looban,Fire,Critical
Fire sa industrial valley complex pabrika ito may chemicals,Fire,Critical
nasusunog na yung hospital wing kailangan ng rescue,Fire,Critical
mabilis kumalat ang apoy dahil sa hangin tulong po,Fire,Critical
nasusunog na yung boarding house sa parang puno ng estudyante,Fire,Critical
FIRE SA KATIPUNAN EXTENSION TRAFFIC AT MAY SUNOG,Fire,Critical
sasabog na yung tangke ng gasolinahan may sunog sa tabi,Fire,Critical
nasusunog na poste bumagsak sa bahay may tao sa loob,Fire,Critical
sunog! sunog! tulungan nyo kami sa nangka,Fire,Critical
may narinig kaming pagsabog tapos nagliyab na yung bodega,Fire,Critical
nasusunog na yung bakery sa kanto may natutulog pa,Fire,Critical
PLEASE SEND FIRETRUCK SA SSS VILLAGE ASAP,Fire,Critical
apoy sa may sta elena malapit sa munisipyo,Fire,Critical
nasusunog na yung warehouse may mga trabahador sa loob,Fire,Critical
sunog sa may tulay hindi makatawid mga sasakyan,Fire,Critical
Rescue pls nasusunog na yung 3rd floor nandun kapatid ko,Fire,Critical
sunog sa squatters area sa tumana mabilis kumain ng bahay,Fire,Critical
may sumabog na lpg sa karinderya daming sugatan at may apoy,Fire,Critical
fire alert sa kalumpang malaki na usok at apoy,Fire,Critical
tulong po nasusunog na yung talyer maraming gulong,Fire,Critical
nasusunog na simbahan may mga nagdadasal pa,Fire,Critical
FIRE SA LAMUAN MAY MGA SENIOR CITIZEN NA NA TRAP,Fire,Critical
tulungan nyo kami nasusunog na yung bubong namin,Fire,Critical
may apoy sa loob ng sinehan sa mall,Fire,Critical
sunog sa may marikina sports center may event,Fire,Critical
nasusunog na yung hardware store may mga paint thinner dun,Fire,Critical
hlep sunog sa condo unit nasa balcony kami,Fire,Critical
tulong nasusunog na yung orphanage,Fire,Critical
sunog sa may meralco post kumalat sa mga tindahan,Fire,Critical
apoy sa may gilid ng ilog sa calumpang residential,Fire,Critical
nasusunog na yung computer shop puno ng bata,Fire,Critical
FIRE SA FORTUNE MARIKINA NEAR TOBACCO FACTORY,Fire,Critical
nasusunog na yung library ng school,Fire,Critical
tulong may sunog sa botika katabi ng gasolinahan,Fire,Critical
sunog sa may paliparan st concepcion,Fire,Critical
grabe apoy sa may sto nino nasusunog na mga bahay,Fire,Critical
tulong na trap kami sa elevator tapos may sunog sa bldg,Fire,Critical
nasusunog na yung grocery store sa bayan,Fire,Critical
FIRE SA INDUSTRIAL AREA MAY MGA TRUCK NA SUMASABOG,Fire,Critical
saklolo nasusunog na yung bahay ng kapitan,Fire,Critical
